CMDLINE uv run ./cs336_basics/bbpe_tokenizer.py
CHLD 36952 0.015625 1773012456.4251
CHLD 61868 2417.500000 1773012456.4251
MEM 0.996094 1773012456.5283
CHLD 25412 0.015625 1773012456.5319
CHLD 36952 0.015625 1773012456.5319
CHLD 61868 2436.929688 1773012456.5319
MEM 0.996094 1773012456.6369
CHLD 25412 0.015625 1773012456.6423
CHLD 36952 0.015625 1773012456.6423
CHLD 61868 2454.375000 1773012456.6423
MEM 0.996094 1773012456.7453
CHLD 25412 0.015625 1773012456.7523
CHLD 36952 0.015625 1773012456.7523
CHLD 61868 2473.191406 1773012456.7523
MEM 0.996094 1773012456.8532
CHLD 25412 0.015625 1773012456.8559
CHLD 36952 0.015625 1773012456.8559
CHLD 61868 2490.222656 1773012456.8559
MEM 0.996094 1773012456.9608
CHLD 25412 0.015625 1773012456.9649
CHLD 36952 0.015625 1773012456.9649
CHLD 61868 2509.390625 1773012456.9649
MEM 0.996094 1773012457.0695
CHLD 25412 0.015625 1773012457.0746
CHLD 36952 0.015625 1773012457.0746
CHLD 61868 2526.695312 1773012457.0746
MEM 0.996094 1773012457.1780
CHLD 25412 0.015625 1773012457.1850
CHLD 36952 0.015625 1773012457.1850
CHLD 61868 2545.281250 1773012457.1850
MEM 0.996094 1773012457.2857
CHLD 25412 0.015625 1773012457.2931
CHLD 36952 0.015625 1773012457.2931
CHLD 61868 2561.257812 1773012457.2931
MEM 0.996094 1773012457.3949
CHLD 25412 0.015625 1773012457.4020
CHLD 36952 0.015625 1773012457.4020
CHLD 61868 2578.101562 1773012457.4020
MEM 0.996094 1773012457.5035
CHLD 25412 0.015625 1773012457.5105
CHLD 36952 0.015625 1773012457.5105
CHLD 61868 2595.519531 1773012457.5105
MEM 0.996094 1773012457.6119
CHLD 25412 0.015625 1773012457.6196
CHLD 36952 0.015625 1773012457.6196
CHLD 61868 2613.597656 1773012457.6196
MEM 0.996094 1773012457.7208
CHLD 25412 0.015625 1773012457.7284
CHLD 36952 0.015625 1773012457.7284
CHLD 61868 2631.601562 1773012457.7284
MEM 0.996094 1773012457.8295
CHLD 25412 0.015625 1773012457.8365
CHLD 36952 0.015625 1773012457.8365
CHLD 61868 2649.453125 1773012457.8365
MEM 0.996094 1773012457.9379
CHLD 25412 0.015625 1773012457.9461
CHLD 36952 0.015625 1773012457.9461
CHLD 61868 2666.894531 1773012457.9461
MEM 0.996094 1773012458.0466
CHLD 25412 0.015625 1773012458.0503
CHLD 36952 0.015625 1773012458.0503
CHLD 61868 2688.230469 1773012458.0503
MEM 0.996094 1773012458.1552
CHLD 25412 0.015625 1773012458.1605
CHLD 36952 0.015625 1773012458.1605
CHLD 61868 2708.125000 1773012458.1605
MEM 0.996094 1773012458.2641
CHLD 25412 0.015625 1773012458.2711
CHLD 36952 0.015625 1773012458.2711
